sample,study,ACLY,ACSS2,ACACA,SCD,FASN,ACSL1,HMGCS1,HMGCR,MVK,PMVK,sample_type,primary disease or tissue,OS,OS.time
GTEX-QESD-1526-SM-2S1QT,GTEX,15.3955,13.2269,12.286,17.3014,17.8017,14.6397,11.5491,10.3996,8.6195,9.757,Normal Tissue,Adipose - Subcutaneous,,
GTEX-T5JC-0526-SM-32PM7,GTEX,15.3728,13.9705,12.3208,16.8332,17.5027,15.5589,11.3181,10.0144,9.1935,9.5933,Normal Tissue,Adipose - Subcutaneous,,
GTEX-11I78-0226-SM-5HL6R,GTEX,15.3625,13.223,12.9395,17.7326,18.7728,17.2291,10.4435,9.5125,8.9234,10.107,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-U8XE-0826-SM-4E3J1,GTEX,15.3401,14.4225,13.2014,18.8507,18.5301,15.5757,12.4993,11.449,9.9207,10.3128,Normal Tissue,Breast - Mammary Tissue,,
GTEX-ZYWO-1726-SM-5E44T,GTEX,15.3245,13.1598,13.9172,18.8565,18.3662,16.1914,10.2011,9.7519,9.574,9.903,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-QLQW-1226-SM-2S1Q9,GTEX,15.2954,14.2027,13.3062,18.911,18.0893,16.5977,12.4776,10.4396,9.8399,10.0449,Normal Tissue,Adipose - Subcutaneous,,
GTEX-ZDYS-1126-SM-5K7UB,GTEX,15.2298,13.8847,13.1379,18.2323,19.1657,16.9224,11.7872,9.4653,9.8159,10.2815,Normal Tissue,Breast - Mammary Tissue,,
GTEX-WHPG-0926-SM-4M1XY,GTEX,15.2271,13.7186,12.7255,18.1789,17.0613,14.7485,12.2208,10.9102,9.2409,9.7003,Normal Tissue,Artery - Aorta,,
GTEX-WEY5-0326-SM-4LMI7,GTEX,15.1702,14.4019,12.9628,18.7782,19.0196,17.2956,12.3876,10.848,10.0262,10.0634,Normal Tissue,Artery - Coronary,,
GTEX-13FH7-1926-SM-5J2OL,GTEX,15.145,12.3705,13.238,18.498,18.6037,16.7881,10.4356,9.4827,8.8664,9.7736,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-ZQG8-0626-SM-57WF3,GTEX,14.9612,14.1877,12.7319,18.543,17.7171,15.9646,11.347,10.2281,9.1395,9.5865,Normal Tissue,Artery - Coronary,,
GTEX-ZDXO-1926-SM-5E45Q,GTEX,14.853,13.6037,12.6179,18.4957,16.3852,14.7797,11.6858,10.3143,9.533,10.3242,Normal Tissue,Nerve - Tibial,,
GTEX-11DXX-2026-SM-5EGJL,GTEX,14.8187,12.75,12.7129,16.9525,18.1357,16.4128,11.0371,10.3409,9.751,10.1044,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-PLZ5-0326-SM-3P614,GTEX,14.7726,15.1484,12.6683,16.0659,15.1631,12.8335,15.6276,14.8417,13.0589,11.0439,Normal Tissue,Adrenal Gland,,
GTEX-11ZUS-2526-SM-59872,GTEX,14.6627,12.2408,11.858,17.7504,18.5157,16.0136,11.9397,11.1548,12.8441,11.9332,Normal Tissue,Liver,,
GTEX-YB5K-1626-SM-5IFIN,GTEX,14.6559,14.1056,13.3271,18.7065,18.8681,17.324,11.5574,10.0034,9.7885,10.1749,Normal Tissue,Breast - Mammary Tissue,,
GTEX-WY7C-0926-SM-3NB34,GTEX,14.6552,13.6619,12.4551,17.7915,17.1012,15.3588,11.1466,10.2002,8.9344,9.6114,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-XBED-2326-SM-47JYR,GTEX,14.6471,13.6801,12.7242,18.7691,18.0543,16.2334,11.526,9.9546,9.6262,9.651,Normal Tissue,Adipose - Subcutaneous,,
GTEX-13CF3-2326-SM-5IFGL,GTEX,14.4545,12.2032,12.3926,18.3548,17.117,15.7213,9.892,9.3263,8.6212,9.4508,Normal Tissue,Adipose - Subcutaneous,,
GTEX-13CF3-2126-SM-5IFJP,GTEX,14.4427,12.4969,13.1799,18.9538,18.2379,16.8967,9.9813,9.0986,8.9305,9.9738,Normal Tissue,Breast - Mammary Tissue,,
GTEX-13W3W-2126-SM-5K7UX,GTEX,14.4299,12.8152,12.2692,17.3687,17.7451,16.0912,10.4942,9.3903,9.4942,9.8984,Normal Tissue,Colon - Transverse,,
GTEX-117YX-1426-SM-5H12H,GTEX,14.4218,13.6611,12.6156,18.2621,18.5152,16.8903,10.3487,9.1372,9.0899,9.9285,Normal Tissue,Breast - Mammary Tissue,,
GTEX-T5JW-1726-SM-3GADN,GTEX,14.416,12.2383,13.1148,18.6711,18.0073,16.9622,11.0289,10.0487,8.6788,9.8109,Normal Tissue,Adipose - Subcutaneous,,
GTEX-X4XY-0326-SM-46MVZ,GTEX,14.4142,11.412,12.4406,17.4377,17.3371,14.2896,10.92,10.1523,8.5464,9.311,Normal Tissue,Adipose - Subcutaneous,,
GTEX-13FH7-2226-SM-5IJD4,GTEX,14.3688,13.4173,12.5713,18.5855,18.3808,16.3318,10.4863,9.3501,9.496,9.8964,Normal Tissue,Adipose - Subcutaneous,,
GTEX-WVLH-0226-SM-3MJG6,GTEX,14.366,14.3816,12.4487,18.2422,16.862,14.6807,12.1798,10.2129,9.5796,10.2648,Normal Tissue,Adipose - Subcutaneous,,
GTEX-T5JW-2026-SM-4DM63,GTEX,14.3324,12.3849,12.7174,16.9707,17.3982,15.0113,11.6922,10.9955,10.2692,9.7899,Normal Tissue,Breast - Mammary Tissue,,
GTEX-144GM-0926-SM-5O994,GTEX,14.3143,13.6282,12.895,17.2263,18.5222,15.4617,11.9978,10.8423,9.2826,10.0124,Normal Tissue,Breast - Mammary Tissue,,
K-562-SM-2YUNN,GTEX,14.2937,13.3281,13.0556,15.7439,16.3781,10.6713,14.6214,13.6559,11.0941,8.1689,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-11TT1-0526-SM-5P9JO,GTEX,14.2934,12.4159,12.6939,15.2794,15.4311,12.3367,14.7637,13.579,11.563,11.0497,Normal Tissue,Esophagus - Mucosa,,
GTEX-XBED-1326-SM-4AT4F,GTEX,14.2844,12.604,12.3026,18.5913,17.4364,16.3312,10.8847,9.839,9.0086,9.6556,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-13CF3-1126-SM-5LZXB,GTEX,14.2822,12.7404,12.9273,18.8804,18.4741,16.3475,10.5387,10.1624,8.962,9.7657,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-11TT1-2126-SM-5GU5Y,GTEX,14.2807,13.614,12.0498,17.2496,17.1299,14.5846,12.3204,10.7553,10.6708,11.0292,Normal Tissue,Breast - Mammary Tissue,,
K-562-SM-2I3E7,GTEX,14.2716,13.2622,13.1347,15.8438,16.2845,10.6532,14.631,13.6576,10.8626,8.0738,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-13QBU-0226-SM-5LU48,GTEX,14.2592,12.871,11.6806,16.8921,16.5995,14.3041,10.8208,9.2137,8.917,11.5502,Normal Tissue,Heart - Atrial Appendage,,
K-562-SM-5P9HH,GTEX,14.2465,13.4405,13.0407,15.8523,16.2634,10.7782,14.7921,13.6946,11.0346,7.9661,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-2D7VW,GTEX,14.2299,13.2418,13.0997,15.7379,16.478,10.5141,14.463,13.5584,10.8662,7.8398,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5CVL5,GTEX,14.2265,13.4196,13.0254,15.9071,15.7817,10.8336,15.1125,13.9104,10.965,8.2684,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5GZWN,GTEX,14.2179,13.4611,12.9388,15.7624,15.8321,10.742,14.9767,13.7464,11.0579,8.2697,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-2HMJ2,GTEX,14.2157,13.2066,13.2738,16.166,15.2805,10.9831,15.3109,14.2676,10.4446,7.5832,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5IJDX,GTEX,14.2152,13.4429,12.8761,15.7451,16.0117,10.6892,14.8841,13.6975,11.1385,8.2948,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5MR32,GTEX,14.208,13.3366,12.9595,15.7177,16.1314,10.7096,14.7264,13.6283,11.0356,8.2159,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-SE5C-2126-SM-4BRUJ,GTEX,14.2054,13.5327,12.4147,16.3702,17.6806,15.8065,11.5264,10.1073,9.7814,9.9881,Normal Tissue,Breast - Mammary Tissue,,
K-562-SM-5P9EQ,GTEX,14.2047,13.3687,12.9171,15.7882,15.95,10.7548,14.9933,13.8607,11.0523,8.2619,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-3P61Y,GTEX,14.1935,13.5671,12.9216,15.7697,16.1136,10.701,14.8158,13.7175,11.2475,8.467,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-ZDYS-2126-SM-5S2OD,GTEX,14.1931,13.2361,12.5139,18.263,18.1335,16.3194,11.9571,9.8661,9.432,9.9187,Normal Tissue,Adipose - Subcutaneous,,
GTEX-Y114-1326-SM-4TT9A,GTEX,14.1885,11.9579,12.2701,16.8525,17.1543,15.8431,10.716,9.8753,8.3942,9.7936,Normal Tissue,Adipose - Visceral (Omentum),,
K-562-SM-32PMP,GTEX,14.166,13.3872,13.0177,15.7365,16.1937,10.775,14.7567,13.7125,11.0019,8.147,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-13OW6-2426-SM-5K7WO,GTEX,14.1608,12.9132,12.3386,18.0046,16.6058,14.8101,10.3326,9.2558,9.318,10.0963,Normal Tissue,Adipose - Visceral (Omentum),,
K-562-SM-2TF5R,GTEX,14.1555,13.1702,13.1898,15.8829,16.1665,10.6314,14.909,13.8645,10.8952,7.9619,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5O9BA,GTEX,14.155,13.3582,12.8732,15.7762,15.8862,10.674,14.812,13.6691,10.8613,8.1641,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5N9DX,GTEX,14.1538,13.4017,12.9241,15.7807,15.9272,10.7264,14.9283,13.7656,11.0006,8.1828,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5J2LX,GTEX,14.1491,13.449,12.8504,15.7159,15.9385,10.6989,14.8269,13.6399,11.0789,8.2066,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-1399S-1426-SM-5PNYQ,GTEX,14.1458,12.898,12.1589,17.6322,18.0261,16.6804,12.0948,11.737,10.569,10.7656,Normal Tissue,Adipose - Visceral (Omentum),,
K-562-SM-4AD4F,GTEX,14.1457,13.3629,12.9123,15.7631,15.9386,10.6716,14.8505,13.7331,10.9802,8.1107,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-3MJHH,GTEX,14.1406,13.4201,12.9754,15.7977,15.9006,10.9017,14.9766,13.842,11.0319,8.1813,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5PNU4,GTEX,14.1374,13.3178,12.928,15.7255,15.8465,10.6299,14.8806,13.651,10.9319,8.2511,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5PNWU,GTEX,14.1342,13.3553,12.8172,15.7106,15.9292,10.5499,14.7455,13.5927,10.9383,8.3164,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5O98J,GTEX,14.1332,13.3132,12.9296,15.7696,15.9534,10.7117,14.8436,13.6498,10.8959,8.0909,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-57WAW,GTEX,14.1308,13.4344,12.9711,15.9222,15.7848,10.8395,15.1474,13.9553,10.9925,8.2617,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-13113-0626-SM-5GCP2,GTEX,14.1284,12.7152,11.4099,16.7572,16.8409,14.289,8.9856,8.6798,9.3242,10.6675,Normal Tissue,Esophagus - Gastroesophageal Junction,,
K-562-SM-4OOR8,GTEX,14.1175,13.4186,12.9078,15.7573,15.8605,10.6856,14.8831,13.7345,11.0601,8.0226,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-R55F-0008-SM-48FE6,GTEX,14.1124,9.4642,11.9111,13.4074,13.8054,11.7688,10.6671,10.4832,8.4625,9.1738,Cell Line,Cells - Transformed Fibroblasts,,
K-562-SM-5NQ9D,GTEX,14.1122,13.3568,12.7958,15.6814,15.8319,10.6714,14.828,13.6392,10.9264,8.3273,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5LU2Y,GTEX,14.1083,13.2908,12.8213,15.7417,15.8362,10.7361,14.9013,13.8362,10.8889,8.0938,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-X261-0011-R8A-SM-4E3I5,GTEX,14.0976,10.8829,11.5656,15.5073,13.2917,11.5492,13.2532,11.9421,10.3032,10.9303,Normal Tissue,Brain - Hypothalamus,,
K-562-SM-5DUV6,GTEX,14.0955,13.2975,12.8523,15.6354,15.9313,10.6045,14.8009,13.6062,10.9151,8.0851,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5NQ6M,GTEX,14.0931,13.3751,12.727,15.6647,15.759,10.6369,14.8215,13.6162,10.8782,8.065,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-4VBPT,GTEX,14.0887,13.3683,12.7039,15.7467,15.5361,10.8038,14.9139,13.7215,11.0213,8.1469,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-3NMAP,GTEX,14.0831,13.426,12.8288,15.7505,15.9209,10.833,14.9113,13.802,11.0879,8.1717,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-ZYWO-2326-SM-5GZY4,GTEX,14.0805,13.3272,12.7601,17.7301,17.7073,15.0428,10.1149,9.3435,9.7249,9.7353,Normal Tissue,Breast - Mammary Tissue,,
K-562-SM-5IJB7,GTEX,14.0799,13.4027,12.7417,15.6878,15.5511,10.7158,14.9517,13.7076,10.931,8.1368,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5K7TT,GTEX,14.0724,13.3303,12.6883,15.649,15.8898,10.7338,14.7789,13.6392,11.0815,7.9893,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-ZDXO-2426-SM-5S2NJ,GTEX,14.0686,13.2161,12.4273,18.556,16.7554,14.8543,12.0164,10.5065,9.6202,9.7947,Normal Tissue,Adipose - Subcutaneous,,
GTEX-ZDYS-2226-SM-5S2MI,GTEX,14.0678,12.3523,11.532,16.7655,17.3351,15.7248,10.7857,10.2493,8.754,9.2538,Normal Tissue,Adipose - Visceral (Omentum),,
K-562-SM-5N9B7,GTEX,14.0676,13.3063,12.835,15.7177,15.8766,10.6548,14.7997,13.652,11.026,7.9507,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-4KKZ9,GTEX,14.0652,13.3368,12.8661,15.7088,15.9269,10.7578,14.7724,13.6352,11.0712,8.0979,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-XXEK-2426-SM-4BRUS,GTEX,14.0608,12.9147,12.5078,17.0835,17.1459,14.895,10.6208,9.6027,8.8525,9.4618,Normal Tissue,Adipose - Subcutaneous,,
K-562-SM-4WAWH,GTEX,14.0588,13.2559,12.7162,15.6194,15.8817,10.6634,14.7655,13.5853,11.0729,8.292,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-3NMDG,GTEX,14.058,13.4275,12.8797,15.7332,15.9303,10.7292,14.866,13.7707,11.0597,8.1777,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5Q5CL,GTEX,14.0333,13.3884,12.9551,15.8149,15.7851,10.6913,15.0032,13.8027,10.9087,8.258,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-XYKS-2726-SM-4E3IC,GTEX,14.029,11.7709,12.2689,16.8606,16.7873,15.2167,10.4485,9.4481,8.6959,10.345,Normal Tissue,Adipose - Subcutaneous,,
K-562-SM-5HL7A,GTEX,14.0261,13.3736,12.6782,15.5883,15.5253,10.6106,14.8357,13.5505,11.0209,8.333,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5J1MB,GTEX,14.0257,13.3092,12.7153,15.6443,15.6898,10.6449,14.8824,13.6953,10.9428,7.9635,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5LZWR,GTEX,14.0105,13.2358,12.6407,15.5695,15.7087,10.5608,14.6645,13.4872,10.8455,8.1344,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-4JBIQ,GTEX,14.0066,13.3184,12.7262,15.6177,15.6482,10.6364,14.8232,13.6264,11.0289,8.0715,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-ZPIC-0008-SM-4E3JF,GTEX,14.0037,11.593,12.3065,15.5876,14.0833,12.7016,12.6345,12.2177,10.2429,9.4764,Cell Line,Cells - Transformed Fibroblasts,,
K-562-SM-4WWAK,GTEX,14.0006,13.3633,12.6056,15.5852,15.6457,10.6593,14.7675,13.5424,11.1229,8.1862,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-33HC7,GTEX,13.9997,13.2193,13.0516,15.8508,15.7942,10.8216,15.0301,14.0213,10.8717,7.7477,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5L3FO,GTEX,13.9956,13.1955,12.6843,15.6589,15.5872,10.7745,14.8191,13.711,10.8541,8.0762,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-QMRM-1626-SM-4R1KV,GTEX,13.9874,14.1034,12.9973,17.3866,18.4142,15.9106,11.5446,10.0454,9.6979,9.7148,Normal Tissue,Breast - Mammary Tissue,,
GTEX-13G51-0526-SM-5IJCQ,GTEX,13.987,12.9447,12.5375,16.551,16.6855,14.9489,10.395,9.0984,9.3598,9.99,Normal Tissue,Adipose - Visceral (Omentum),,
K-562-SM-3LK7S,GTEX,13.9861,13.3706,12.6784,15.5477,15.8871,10.7012,14.7278,13.5705,11.0568,8.2174,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5KM2I,GTEX,13.9845,13.2702,12.6334,15.585,15.7009,10.5923,14.6889,13.5351,10.8825,7.9886,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-4YCCQ,GTEX,13.9805,13.2877,12.867,15.7446,15.5972,10.6934,14.9079,13.712,10.9248,8.0909,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-3NB3I,GTEX,13.9796,13.3066,12.5668,15.6562,15.6753,10.7962,14.8112,13.7599,11.037,8.0825,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-XYKS-1326-SM-4BRUN,GTEX,13.9795,11.1708,12.2497,16.1046,17.036,15.4816,10.0585,9.3681,8.6622,10.3201,Normal Tissue,Breast - Mammary Tissue,,
K-562-SM-5K7ZB,GTEX,13.9759,13.2366,12.6609,15.6174,15.6041,10.6284,14.7928,13.6406,10.8097,7.9043,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5Q59U,GTEX,13.9631,13.3726,12.9866,15.8044,15.7101,10.6811,14.9434,13.7639,10.9534,8.1155,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-59HJ4,GTEX,13.9573,13.3613,12.9295,15.7647,15.8143,10.7037,14.9582,13.7847,10.96,8.074,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-32PLC,GTEX,13.9546,13.1674,13.0707,15.89,15.5391,10.8819,15.2217,14.1615,10.5666,7.2872,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5IFEL,GTEX,13.9478,13.2344,12.5875,15.5694,15.4545,10.6061,14.7786,13.6186,10.8561,8.0133,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-WY7C-2626-SM-3NB2P,GTEX,13.9473,13.0343,11.9694,16.9652,15.9888,13.9965,11.4592,10.5803,9.2162,10.1695,Normal Tissue,Nerve - Tibial,,
K-562-SM-5LZU1,GTEX,13.9423,13.3294,12.4443,15.5094,15.4648,10.5839,14.6664,13.4748,10.9805,8.3378,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5QGOR,GTEX,13.9391,13.2042,12.8571,15.6588,15.6757,10.5721,14.7919,13.617,10.7979,8.0677,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-WHPG-2126-SM-4M1ZM,GTEX,13.9326,14.2681,12.4194,18.3192,17.4434,15.1834,12.0448,10.261,9.7604,9.7419,Normal Tissue,Adipose - Subcutaneous,,
K-562-SM-2S1RI,GTEX,13.9302,12.9233,12.9061,15.6699,15.3886,10.589,14.813,13.7959,10.3148,7.8511,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-4BRWK,GTEX,13.9238,13.1771,12.7153,15.5549,15.7145,10.6186,14.6352,13.4797,10.8273,7.9673,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-5GZZE,GTEX,13.9065,13.2212,12.5707,15.512,15.5983,10.5194,14.664,13.466,10.848,7.9371,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-4DM4W,GTEX,13.9053,13.1883,12.5927,15.5359,15.677,10.4412,14.6776,13.5019,10.8511,7.9335,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-4AT3W,GTEX,13.8987,13.1788,12.6263,15.5204,15.681,10.5571,14.6603,13.4881,10.8364,7.9514,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-47JYY,GTEX,13.8949,13.3888,12.8167,15.6372,15.8252,10.6243,14.8,13.6543,11.0671,8.1303,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-S4P3-1526-SM-3K2AV,GTEX,13.8891,13.7157,12.351,18.4825,17.5639,16.3408,12.1615,9.6195,9.8148,10.1978,Normal Tissue,Adipose - Subcutaneous,,
GTEX-Y114-2026-SM-4TT7L,GTEX,13.8732,12.2561,12.125,14.6323,17.1947,15.8979,10.3542,9.5713,9.0847,9.9171,Normal Tissue,Breast - Mammary Tissue,,
K-562-SM-2D7VY,GTEX,13.8628,12.9001,12.7268,15.4377,16.063,10.2934,14.1342,13.2384,10.6115,7.8278,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-4IHK7,GTEX,13.8581,13.335,12.8018,15.5875,16.084,10.4818,14.576,13.4037,11.1225,8.2121,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-WVLH-0008-SM-4MVPD,GTEX,13.856,9.5044,11.2948,11.2952,13.264,10.6156,9.4474,10.5152,8.0079,9.7834,Cell Line,Cells - Transformed Fibroblasts,,
GTEX-13QBU-1326-SM-5LU4K,GTEX,13.8415,12.3619,12.155,17.3407,18.2301,16.2982,10.4528,10.2332,8.2333,9.6524,Normal Tissue,Adipose - Visceral (Omentum),,
GTEX-U3ZN-0826-SM-4DXSZ,GTEX,13.8269,13.9657,12.8441,15.6875,14.4221,12.5794,14.7507,14.1398,12.2083,10.8053,Normal Tissue,Adrenal Gland,,
K-562-SM-4M1XD,GTEX,13.8226,13.0822,12.7174,15.5085,15.5597,10.4949,14.6465,13.5402,10.7552,7.7327,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-11DXY-0326-SM-5H12F,GTEX,13.8201,12.562,12.5925,15.8958,15.9098,14.0549,10.8229,9.5873,9.3109,10.2044,Normal Tissue,Adipose - Visceral (Omentum),,
K-562-SM-2TC5E,GTEX,13.8045,13.0044,12.7165,15.4341,15.9009,10.3524,14.3751,13.3785,10.7191,7.878,Cell Line,Cells - Leukemia Cell Line (Cml),,
GTEX-Y114-2326-SM-4TT7X,GTEX,13.7948,12.4002,12.3117,15.5831,17.3459,16.099,10.3174,9.018,8.6742,9.6632,Normal Tissue,Adipose - Subcutaneous,,
K-562-SM-46MWI,GTEX,13.77,13.2544,12.6737,15.5201,15.852,10.522,14.6994,13.5434,10.9326,7.6314,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-4QAR5,GTEX,13.7635,13.2227,12.5175,15.5151,15.4038,10.5461,14.7035,13.4967,10.9818,8.0638,Cell Line,Cells - Leukemia Cell Line (Cml),,
K-562-SM-2S1Q5,GTEX,13.746,12.7776,12.4452,15.3969,15.493,10.7145,14.4568,13.3845,10.4093,7.7924,Cell Line,Cells - Leukemia Cell Line (Cml),,
